iter	RMSE
0	71.63257777
1	68.80422767
2	66.19643168
3	63.6280135
4	61.25030326
5	59.0053697
6	56.88628875
7	54.8416692
8	52.92848244
9	51.09687073
10	49.40493625
11	47.71184289
12	46.20572854
13	44.74856646
14	43.438712
15	42.0557555
16	40.8036606
17	39.59389876
18	38.51925142
19	37.39347977
20	36.33625847
21	35.35758551
22	34.42716598
23	33.56588754
24	32.78026495
25	31.99034478
26	31.25074012
27	30.54986104
28	29.84568656
29	29.21786067
30	28.57013082
31	28.01113377
32	27.47934553
33	26.97507348
34	26.4678801
35	25.98836853
36	25.53164125
37	25.0783336
38	24.69877908
39	24.31352526
40	23.94655432
41	23.5184555
42	23.16646245
43	22.77928015
44	22.40935503
45	22.08463573
46	21.74438018
47	21.48103203
48	21.19507924
49	20.93746145
50	20.64813148
51	20.37686175
52	20.11190861
53	19.86582123
54	19.63408423
55	19.42253905
56	19.23005929
57	19.03311781
58	18.81778015
59	18.63946065
60	18.44681124
61	18.26719424
62	18.10759308
63	17.93484722
64	17.75151094
65	17.58136396
66	17.41397318
67	17.30480154
68	17.1451655
69	16.99780782
70	16.89361435
71	16.76677984
72	16.64346356
73	16.52943087
74	16.39788492
75	16.29798979
76	16.18722776
77	16.08419123
78	15.99769169
79	15.90102206
80	15.80747441
81	15.7349992
82	15.64324225
83	15.56622556
84	15.46697599
85	15.3988271
86	15.32141252
87	15.23777492
88	15.16158991
89	15.07017612
90	15.01116265
91	14.91565871
92	14.85218669
93	14.77300532
94	14.7266712
95	14.63838948
96	14.55295405
97	14.49918361
98	14.43642279
99	14.36386811
100	14.30192537
101	14.2327028
102	14.15565073
103	14.08241797
104	14.00590092
105	13.94181313
106	13.90627767
107	13.851816
108	13.81696169
109	13.75236614
110	13.70053809
111	13.63574808
112	13.59668001
113	13.54904298
114	13.48164895
115	13.42695977
116	13.37451431
117	13.32860531
118	13.29743478
119	13.25094973
120	13.19988638
121	13.17094735
122	13.1286405
123	13.0972895
124	13.04162741
125	12.98749803
126	12.94442546
127	12.90445091
128	12.85930247
129	12.81381562
130	12.78805344
131	12.74407442
132	12.71533998
133	12.68255657
134	12.64234228
135	12.58928382
136	12.56722851
137	12.52436474
138	12.48097877
139	12.44750928
140	12.40799494
141	12.36197475
142	12.31464725
143	12.28328965
144	12.25631418
145	12.21945606
146	12.18872105
147	12.15676391
148	12.12069204
149	12.08618522
150	12.039872
151	11.9951269
152	11.96227877
153	11.93680621
154	11.91322612
155	11.86909702
156	11.8372516
157	11.80373439
158	11.76835927
159	11.72560928
160	11.6918938
161	11.66122215
162	11.63784187
163	11.60198919
164	11.56913947
165	11.53350515
166	11.50853915
167	11.47481748
168	11.43209757
169	11.40374161
170	11.37136099
171	11.34069839
172	11.31927484
173	11.28201339
174	11.25158135
175	11.22655167
176	11.2065767
177	11.17432834
178	11.14584586
179	11.12215521
180	11.0886174
181	11.0714567
182	11.05128853
183	11.01024266
184	10.98342303
185	10.96162496
186	10.93127667
187	10.90090848
188	10.86663569
189	10.84896159
