iter	Passed	Remaining
0	63	62960
1	66	33108
2	69	23059
3	72	17955
4	76	15272
5	79	13203
6	82	11708
7	85	10551
8	89	9854
9	92	9200
10	95	8576
11	98	8086
12	101	7703
13	104	7373
14	108	7133
15	111	6850
16	114	6607
17	117	6385
18	119	6174
19	122	6023
20	125	5867
21	128	5711
22	131	5577
23	133	5445
24	136	5335
25	139	5241
26	142	5135
27	145	5037
28	147	4948
29	150	4864
30	153	4792
31	156	4724
32	158	4651
33	161	4585
34	164	4542
35	167	4482
36	170	4435
37	173	4387
38	176	4338
39	178	4291
40	181	4243
41	184	4201
42	187	4165
43	189	4124
44	192	4086
45	195	4053
46	198	4016
47	200	3981
48	203	3951
49	206	3920
50	209	3889
51	212	3870
52	214	3837
53	217	3810
54	220	3791
55	223	3768
56	226	3745
57	228	3719
58	231	3692
59	234	3666
60	237	3650
61	239	3627
62	242	3602
63	244	3582
64	247	3563
65	250	3542
66	253	3532
67	256	3513
68	259	3494
69	261	3479
70	264	3460
71	267	3445
72	269	3428
73	272	3410
74	275	3392
75	277	3375
76	280	3357
77	282	3340
78	285	3327
79	287	3310
80	290	3294
81	292	3279
82	295	3263
83	297	3246
84	300	3231
85	302	3218
86	305	3209
87	308	3197
88	311	3184
89	314	3176
90	317	3167
91	320	3160
92	322	3148
93	325	3138
94	328	3125
95	330	3115
96	333	3107
97	338	3117
98	342	3113
99	345	3109
100	348	3105
101	352	3102
102	354	3091
103	358	3084
104	361	3077
105	363	3065
106	366	3059
107	369	3051
108	371	3038
109	374	3033
110	377	3022
111	380	3014
112	383	3009
113	386	3001
114	389	2993
115	391	2985
116	394	2974
117	396	2965
118	400	2961
119	402	2951
120	405	2944
121	408	2936
122	410	2927
123	413	2921
124	417	2919
125	420	2913
126	423	2908
127	425	2899
128	428	2893
129	431	2889
130	434	2883
131	437	2879
132	440	2872
133	443	2864
134	445	2857
135	449	2856
136	452	2850
137	455	2844
138	458	2838
139	460	2831
140	464	2829
141	467	2826
142	470	2820
143	473	2814
144	476	2807
145	479	2801
146	482	2801
147	485	2794
148	488	2791
149	491	2784
150	494	2780
151	498	2781
152	501	2774
153	503	2768
154	506	2763
155	509	2755
156	513	2756
157	516	2751
158	518	2744
159	522	2741
160	524	2734
161	529	2738
162	531	2731
163	534	2725
164	537	2722
165	540	2715
166	543	2711
167	547	2708
168	549	2703
169	552	2699
170	555	2693
171	558	2688
172	561	2686
173	564	2679
174	567	2673
175	569	2667
176	572	2661
177	575	2657
178	578	2654
179	582	2654
180	586	2653
181	589	2648
182	593	2647
183	596	2643
184	598	2638
185	602	2634
186	604	2629
187	608	2626
188	612	2627
189	617	2633
190	620	2630
191	623	2623
192	627	2622
193	630	2617
194	632	2611
195	635	2606
196	637	2600
197	640	2593
198	643	2591
199	646	2586
